captured_utc,player,market,side,line,odds
2026-06-24T10:26:26+00:00,gabby williams,pr,Over,18.5,1.83
2026-06-24T10:26:26+00:00,gabby williams,pr,Under,18.5,1.83
2026-06-24T10:26:26+00:00,gabby williams,pra,Over,21.5,2.0
2026-06-24T10:26:26+00:00,gabby williams,pra,Under,21.5,1.73
2026-06-24T10:26:26+00:00,rhyne howard,pts,Over,17.5,1.707
2026-06-24T10:26:26+00:00,rhyne howard,pts,Under,17.5,1.883
2026-06-24T10:26:26+00:00,rhyne howard,pr,Over,21.5,1.8
2026-06-24T10:26:26+00:00,rhyne howard,pr,Under,21.5,1.91
2026-06-24T10:26:26+00:00,rhyne howard,pa,Over,21.5,1.83
2026-06-24T10:26:26+00:00,rhyne howard,pa,Under,21.5,1.83
2026-06-24T10:26:26+00:00,rhyne howard,ra,Over,7.5,1.91
2026-06-24T10:26:26+00:00,rhyne howard,ra,Under,7.5,1.8
2026-06-24T10:26:26+00:00,rhyne howard,pra,Over,25.5,1.893
2026-06-24T10:26:26+00:00,rhyne howard,pra,Under,25.5,1.893
2026-06-24T10:26:26+00:00,angel reese,pts,Over,14.5,1.93
2026-06-24T10:26:26+00:00,angel reese,pts,Under,14.5,1.67
2026-06-24T10:26:26+00:00,angel reese,pr,Over,25.5,1.83
2026-06-24T10:26:26+00:00,angel reese,pr,Under,25.5,1.83
2026-06-24T10:26:26+00:00,angel reese,pa,Over,16.5,1.73
2026-06-24T10:26:26+00:00,angel reese,pa,Under,16.5,2.0
2026-06-24T10:26:26+00:00,angel reese,ra,Over,14.5,1.91
2026-06-24T10:26:26+00:00,angel reese,ra,Under,14.5,1.8
2026-06-24T10:26:26+00:00,angel reese,reb,Over,11.5,1.82
2026-06-24T10:26:26+00:00,angel reese,reb,Under,11.5,1.88
2026-06-24T10:26:26+00:00,angel reese,ast,Over,2.5,1.63
2026-06-24T10:26:26+00:00,angel reese,ast,Under,2.5,2.15
2026-06-24T10:26:26+00:00,angel reese,pra,Over,28.5,1.87
2026-06-24T10:26:26+00:00,angel reese,pra,Under,28.5,1.909
2026-06-24T10:26:26+00:00,veronica burton,pts,Over,11.5,1.707
2026-06-24T10:26:26+00:00,veronica burton,pts,Under,11.5,1.883
2026-06-24T10:26:26+00:00,veronica burton,pr,Over,15.5,2.0
2026-06-24T10:26:26+00:00,veronica burton,pr,Under,15.5,1.73
2026-06-24T10:26:26+00:00,veronica burton,pa,Over,17.5,1.83
2026-06-24T10:26:26+00:00,veronica burton,pa,Under,17.5,1.83
2026-06-24T10:26:26+00:00,veronica burton,ra,Over,8.5,1.73
2026-06-24T10:26:26+00:00,veronica burton,ra,Under,8.5,2.0
2026-06-24T10:26:26+00:00,veronica burton,reb,Over,3.5,2.13
2026-06-24T10:26:26+00:00,veronica burton,reb,Under,3.5,1.63
2026-06-24T10:26:26+00:00,veronica burton,ast,Over,5.5,1.95
2026-06-24T10:26:26+00:00,veronica burton,ast,Under,5.5,1.75
2026-06-24T10:26:26+00:00,veronica burton,pra,Over,20.5,1.769
2026-06-24T10:26:26+00:00,veronica burton,pra,Under,20.5,2.02
2026-06-24T10:26:26+00:00,janelle salaun,pts,Over,12.5,1.67
2026-06-24T10:26:26+00:00,janelle salaun,pts,Under,12.5,1.93
