ts,game_id,period,clock,away,home,away_score,home_score,h_fouls,a_fouls,h_to,a_to,h_reb,a_reb,last_play
2026-07-17T23:49:03Z,401857075,1,1:52,LA,CHI,13,13,4,1,2,4,8,9,Elizabeth Williams turnover
2026-07-17T23:50:19Z,401857073,1,2:13,SEA,IND,20,24,4,3,4,5,7,5,Stefanie Dolson makes free throw 2 of 2
2026-07-17T23:50:19Z,401857074,1,3:18,ATL,TOR,14,11,5,5,4,1,7,4,Naz Hillmon makes free throw 2 of 2
2026-07-17T23:50:19Z,401857075,1,46.9,LA,CHI,15,13,4,1,2,5,9,11,Erica Wheeler defensive rebound
2026-07-17T23:51:35Z,401857073,1,1:38,SEA,IND,20,26,5,4,4,5,8,5,Storm offensive team rebound
2026-07-17T23:51:35Z,401857074,1,2:29,ATL,TOR,16,13,5,6,5,1,8,4,Julie Allemand defensive rebound
2026-07-17T23:51:35Z,401857075,1,2.3,LA,CHI,17,15,4,2,3,5,9,11,foul
2026-07-17T23:52:52Z,401857073,1,44.1,SEA,IND,23,32,5,4,4,5,8,5,Dominique Malonga makes layup (Zia Cooke assists)
2026-07-17T23:52:52Z,401857074,1,2:08,ATL,TOR,16,17,5,7,5,1,9,4,Marina Mabrey defensive rebound
2026-07-17T23:52:52Z,401857075,1,0.0,LA,CHI,17,16,4,3,3,5,9,11,End of the 1st Quarter
2026-07-17T23:54:08Z,401857073,1,0.0,SEA,IND,26,37,5,4,4,5,9,5,End of the 1st Quarter
2026-07-17T23:54:08Z,401857074,1,1:48,ATL,TOR,18,17,6,7,5,1,9,5,Allisha Gray enters the game for Isobel Borlase
2026-07-17T23:54:08Z,401857075,1,0.0,LA,CHI,17,16,4,3,3,5,9,11,End of the 1st Quarter
2026-07-17T23:55:24Z,401857073,1,0.0,SEA,IND,26,37,5,4,4,5,9,5,End of the 1st Quarter
2026-07-17T23:55:24Z,401857074,1,51.2,ATL,TOR,22,19,6,7,6,1,9,6,Madina Okot enters the game for Naz Hillmon
2026-07-17T23:55:24Z,401857075,2,10:00,LA,CHI,17,16,4,3,3,5,9,11,Emma Cannon enters the game for Cameron Brink
2026-07-17T23:56:40Z,401857073,1,0.0,SEA,IND,26,37,5,4,4,5,9,5,End of the 1st Quarter
2026-07-17T23:56:40Z,401857074,1,2.3,ATL,TOR,22,23,6,8,6,1,10,6,Isabelle Harrison defensive rebound
2026-07-17T23:56:40Z,401857075,2,8:51,LA,CHI,17,19,4,3,4,5,11,11,Chloe Bibby foul
2026-07-17T23:57:56Z,401857073,2,9:32,SEA,IND,26,37,5,4,4,5,9,5,Jordan Horston enters the game for Stefanie Dolson
2026-07-17T23:57:56Z,401857074,1,0.0,ATL,TOR,23,23,7,8,6,1,10,6,Maria Conde misses shot
2026-07-17T23:57:56Z,401857075,2,8:36,LA,CHI,19,19,5,4,4,5,11,11,Emma Cannon loose ball foul
2026-07-17T23:59:12Z,401857073,2,9:13,SEA,IND,28,39,5,5,4,5,9,6,Caitlin Clark makes free throw 1 of 2
2026-07-17T23:59:12Z,401857074,1,0.0,ATL,TOR,23,23,7,8,6,1,10,6,End of the 1st Quarter
2026-07-17T23:59:12Z,401857075,2,7:38,LA,CHI,19,26,5,4,4,5,14,11,Sparks Full timeout
2026-07-18T00:00:27Z,401857073,2,8:54,SEA,IND,30,42,5,6,4,5,9,6,Caitlin Clark makes free throw 1 of 3
2026-07-18T00:00:27Z,401857074,1,0.0,ATL,TOR,23,23,7,8,6,1,10,6,End of the 1st Quarter
2026-07-18T00:00:27Z,401857075,2,7:38,LA,CHI,19,26,5,4,4,5,14,11,Sparks Full timeout
2026-07-18T00:01:44Z,401857073,2,8:16,SEA,IND,32,44,5,7,4,5,9,7,Caitlin Clark makes free throw 1 of 2
2026-07-18T00:01:44Z,401857074,2,9:24,ATL,TOR,23,23,7,8,6,1,11,6,Julie Allemand defensive rebound
2026-07-18T00:01:44Z,401857075,2,7:38,LA,CHI,19,26,5,4,3,5,13,11,Sparks Full timeout
2026-07-18T00:03:01Z,401857073,2,7:28,SEA,IND,32,49,5,7,5,6,11,7,Storm Full timeout
2026-07-18T00:03:01Z,401857074,2,8:59,ATL,TOR,24,25,8,8,6,1,11,6,Julie Allemand shooting foul
2026-07-18T00:03:01Z,401857075,2,7:14,LA,CHI,19,28,5,5,3,7,13,11,enters the game for Rachel Banham
2026-07-18T00:04:17Z,401857073,2,7:28,SEA,IND,32,49,5,7,5,6,11,7,Storm Full timeout
2026-07-18T00:04:17Z,401857074,2,8:23,ATL,TOR,25,28,9,8,7,1,12,6,enters the game for Naz Hillmon
2026-07-18T00:04:17Z,401857075,2,6:44,LA,CHI,20,30,6,5,3,7,13,11,Kamilla Cardoso makes driving layup (Natasha Cloud assists)
2026-07-18T00:05:32Z,401857073,2,7:28,SEA,IND,32,49,5,7,5,6,11,7,Storm Full timeout
2026-07-18T00:05:32Z,401857074,2,7:16,ATL,TOR,27,30,9,8,7,2,12,7,Rhyne Howard enters the game for Allisha Gray
2026-07-18T00:05:32Z,401857075,2,6:04,LA,CHI,22,32,6,5,3,7,14,11,Nneka Ogwumike makes 19-foot jumper (Rae Burrell assists)
2026-07-18T00:06:48Z,401857073,2,6:59,SEA,IND,35,49,6,7,5,6,11,7,Makayla Timpson shooting foul
2026-07-18T00:06:48Z,401857074,2,6:47,ATL,TOR,30,33,10,9,8,2,13,7,Marina Mabrey offensive foul turnover
2026-07-18T00:06:48Z,401857075,2,5:21,LA,CHI,22,33,6,6,4,8,15,12,"Sydney Taylor bad pass
turnover (Cameron Brink steals)"
2026-07-18T00:08:05Z,401857073,2,6:07,SEA,IND,39,52,6,8,6,6,13,7,Jade Melbourne makes 3-foot shot
2026-07-18T00:08:05Z,401857074,2,5:59,ATL,TOR,32,35,10,10,8,2,13,7,Allisha Gray makes driving layup (Angel Reese assists)
2026-07-18T00:08:05Z,401857075,2,4:45,LA,CHI,27,36,7,6,4,8,16,12,Gabriela Jaquez makes 22-foot three point jumper (Natasha Cloud assist
2026-07-18T00:09:21Z,401857073,2,5:26,SEA,IND,39,52,7,8,7,6,14,7,Lexie Hull offensive foul turnover
2026-07-18T00:09:21Z,401857074,2,5:59,ATL,TOR,32,35,10,10,8,2,13,7,Tempo Full timeout
2026-07-18T00:09:21Z,401857075,2,4:10,LA,CHI,29,38,7,6,5,8,17,12,Sky Full timeout
2026-07-18T00:10:36Z,401857073,2,4:32,SEA,IND,41,54,7,8,7,7,14,7,Kelsey Mitchell makes 1-foot layup (Caitlin Clark assists)
2026-07-18T00:10:36Z,401857074,2,5:59,ATL,TOR,32,35,10,10,8,2,13,7,Tempo Full timeout
2026-07-18T00:10:36Z,401857075,2,4:10,LA,CHI,29,38,7,6,5,8,17,12,Sky Full timeout
2026-07-18T00:11:52Z,401857073,2,4:03,SEA,IND,43,55,7,9,7,7,14,8,Dominique Malonga defensive rebound
2026-07-18T00:11:52Z,401857074,2,5:18,ATL,TOR,32,35,10,10,8,2,14,8,Laura Juskaite defensive rebound
2026-07-18T00:11:52Z,401857075,2,4:10,LA,CHI,29,38,7,6,5,8,17,12,Chance Gray enters the game for Erica Wheeler
2026-07-19T00:04:02Z,401857078,1,8:45,POR,MIN,2,4,0,0,0,0,1,0,Natasha Howard makes layup (Olivia Miles assists)
2026-07-19T00:05:19Z,401857078,1,8:03,POR,MIN,4,4,0,0,0,1,1,1,Emily Engstler out of bounds bad pass turnover
2026-07-19T00:06:35Z,401857078,1,7:22,POR,MIN,6,7,0,2,0,1,1,1,Olivia Miles makes free throw 1 of 1
2026-07-19T00:07:50Z,401857078,1,7:08,POR,MIN,6,9,0,3,0,1,1,1,Lynx offensive team rebound
2026-07-19T00:09:05Z,401857077,1,9:20,NY,IND,2,0,0,0,1,0,1,0,Aliyah Boston defensive rebound
2026-07-19T00:09:05Z,401857078,1,5:45,POR,MIN,8,14,0,3,0,1,3,1,Courtney Williams defensive rebound
2026-07-19T00:10:21Z,401857077,1,8:29,NY,IND,8,2,1,0,2,0,1,1,Marine Johannes makes 28-foot three pointer (Pauline Astier assists)
2026-07-19T00:10:21Z,401857078,1,4:59,POR,MIN,10,14,0,3,0,1,3,2,Carla Leite makes 3-foot shot
2026-07-19T00:11:36Z,401857077,1,7:51,NY,IND,9,4,1,0,2,0,1,1,foul
2026-07-19T00:11:36Z,401857078,1,4:43,POR,MIN,10,14,0,3,0,1,3,2,Official timeout
2026-07-19T00:12:51Z,401857077,1,7:12,NY,IND,15,4,1,1,3,0,1,2,Breanna Stewart makes 24-foot shot (Pauline Astier assists)
2026-07-19T00:12:51Z,401857078,1,4:43,POR,MIN,10,14,0,3,0,1,3,2,Official timeout
2026-07-19T00:14:06Z,401857077,1,7:12,NY,IND,15,4,1,1,3,0,1,2,Breanna Stewart makes 24-foot shot (Pauline Astier assists)
2026-07-19T00:14:06Z,401857078,1,4:14,POR,MIN,10,16,0,3,0,1,4,2,Kayla McBride defensive rebound
2026-07-19T23:46:02Z,401857082,2,2:27,CON,PHX,29,34,4,10,5,10,11,14,Leila Lacan out of bounds bad pass turnover
2026-07-19T23:47:18Z,401857082,2,1:54,CON,PHX,29,35,4,11,6,10,12,14,Noemie Brochant defensive rebound
2026-07-19T23:48:33Z,401857082,2,1:44,CON,PHX,31,35,5,12,6,10,12,14,Leila Lacan personal foul
2026-07-19T23:49:49Z,401857082,2,1:28,CON,PHX,32,37,5,12,6,10,12,14,Kahleah Copper makes free throw 2 of 2
2026-07-19T23:51:05Z,401857082,2,31.9,CON,PHX,33,41,6,12,6,10,14,14,Natasha Mack makes running layup (Alyssa Thomas assists)
2026-07-19T23:52:20Z,401857082,2,12.2,CON,PHX,33,42,6,13,6,10,14,14,Charlisse Leger-Walker shooting foul
2026-07-19T23:53:36Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-19T23:54:52Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-19T23:56:07Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-19T23:57:24Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-19T23:58:40Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-19T23:59:55Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-20T00:01:10Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-20T00:02:26Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
2026-07-20T00:03:42Z,401857082,2,0.0,CON,PHX,33,43,6,13,6,10,14,14,End of the 2nd Quarter
