cell,n,hit,roi,lo,hi
tm_resid_3 >=+1.5 FOLLOW -> OVER,709,52.04513399153738,-5.073342736248238,-11.901304654442876,1.513540197461213
tm_resid_3 >=+1.5 FADE -> UNDER,709,47.95486600846262,-6.076163610719323,-13.104619181946402,1.2498589562764513
tm_resid_3 <=-1.5 FOLLOW -> UNDER,631,47.543581616481774,-8.6148969889065,-16.542432646592708,-1.147939778129951
tm_resid_3 <=-1.5 FADE -> OVER,631,52.45641838351822,-2.5245641838351833,-9.78217115689382,5.161687797147383
tm_resid_3 >=+3.0 FOLLOW -> OVER,574,54.181184668989545,-1.3745644599303144,-8.756097560975611,6.301175958188159
tm_resid_3 >=+3.0 FADE -> UNDER,574,45.818815331010455,-10.177700348432056,-18.46001742160279,-2.0850609756097565
tm_resid_3 <=-3.0 FOLLOW -> UNDER,501,48.30339321357285,-7.40119760479042,-15.669910179640718,0.9021956087824335
tm_resid_3 <=-3.0 FADE -> OVER,501,51.69660678642715,-3.830339321357285,-11.89625748502994,4.261576846307386
tm_resid_3 >=+5.0 FOLLOW -> OVER,425,53.41176470588235,-2.875294117647058,-11.910823529411767,5.7591176470588294
tm_resid_3 >=+5.0 FADE -> UNDER,425,46.588235294117645,-8.432941176470589,-17.953647058823535,1.2700000000000058
tm_resid_3 <=-5.0 FOLLOW -> UNDER,359,47.63231197771588,-8.899721448467968,-19.195403899721452,1.232033426183846
tm_resid_3 <=-5.0 FADE -> OVER,359,52.36768802228412,-2.4763231197771596,-12.312186629526463,7.4101671309192225
tm_resid_5 >=+1.5 FOLLOW -> OVER,635,52.59842519685039,-4.456692913385826,-11.371771653543306,2.538740157480315
tm_resid_5 >=+1.5 FADE -> UNDER,635,47.40157480314961,-7.09448818897638,-14.55484251968504,0.32606299212598294
tm_resid_5 <=-1.5 FOLLOW -> UNDER,539,48.05194805194805,-7.842300556586271,-15.878014842300557,0.24512987012987067
tm_resid_5 <=-1.5 FADE -> OVER,539,51.94805194805194,-3.415584415584417,-11.276716141001854,4.34517625231911
tm_resid_5 >=+3.0 FOLLOW -> OVER,487,54.62012320328542,-0.8726899383983574,-8.95518480492813,7.113193018480493
tm_resid_5 >=+3.0 FADE -> UNDER,487,45.37987679671458,-10.75770020533881,-19.46216632443532,-1.9854722792607802
tm_resid_5 <=-3.0 FOLLOW -> UNDER,372,49.193548387096776,-5.827956989247313,-15.091397849462366,3.683467741935485
tm_resid_5 <=-3.0 FADE -> OVER,372,50.806451612903224,-5.336021505376345,-14.59186827956989,3.6311827956989315
tm_resid_5 >=+5.0 FOLLOW -> OVER,307,54.39739413680782,-1.3941368078175898,-11.59299674267101,9.09144951140065
tm_resid_5 >=+5.0 FADE -> UNDER,307,45.60260586319218,-9.475570032573291,-21.26742671009772,1.5736156351791528
tm_resid_5 <=-5.0 FOLLOW -> UNDER,221,50.678733031674206,-3.479638009049775,-15.765045248868779,9.18552036199095
tm_resid_5 <=-5.0 FADE -> OVER,221,49.321266968325794,-7.932126696832579,-20.31685520361991,4.050000000000001
