game_id,date,season,home,away,home_score,away_score,ml_h,ml_a,spread,sp_h,sp_a,total,ou_o,ou_u,n_bk_sp,n_bk_ou,home_margin,game_total,home_won,home_covered,over_hit,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv,mkt,ats
401620249,20240528,2024,CON,PHX,70,47,1.27,3.73,-7.5,1.86,1.94,164.5,1.74,2.13,6,7,23,117,1,1.0,0.0,0.0595,-0.0245,199.0,2.642,0.0,0.0,8.53,-4.33,163.93,-0.0086,0.1035,0.0169,-0.14,-0.0259,-0.81,-0.0014,0.0548,-0.1387,0.3669,-1.1639,-0.0297,-1.4017,0.1696,0.0,-0.2643,-0.1622,0.1075,-0.0719,-0.259,165.2,7.5,15.5
401620250,20240528,2024,IND,LA,82,88,1.43,2.82,-5.5,1.93,1.88,165.5,1.91,1.88,6,7,-6,170,0,0.0,1.0,-0.0611,-0.0753,-64.7,-0.428,1.0,0.0,-2.45,-1.41,163.85,-0.0141,-0.0134,-0.0654,0.0035,-0.0235,-0.26,0.0053,-0.0316,-0.0656,-0.3516,0.6515,0.0177,0.8575,0.124,0.0,-0.0665,0.1448,-0.0059,0.0153,0.048,165.01,5.5,-11.5
401620251,20240528,2024,CHI,SEA,68,77,2.08,1.74,2.5,1.86,1.93,163.5,1.85,1.94,6,7,-9,145,0,0.0,0.0,-0.0263,0.0333,86.6,-1.353,0.0,0.0,2.81,-2.57,166.58,-0.014,0.026,0.0022,-0.0294,0.0236,0.07,0.1349,-0.1275,0.1178,-0.0275,0.7433,-0.0496,-0.0737,0.0411,0.0,0.0721,0.2471,-0.0063,-0.1027,0.1479,165.21,-2.5,-6.5
401620252,20240529,2024,NY,PHX,81,78,1.08,8.13,-13.5,1.85,1.96,168.5,1.67,2.16,6,7,3,159,1,0.0,0.0,0.2289,0.2334,230.5,3.178,3.0,-1.0,9.83,-2.43,165.44,0.0191,0.0296,-0.0334,-0.0391,-0.0109,-0.52,0.3269,-0.1645,0.0588,0.5165,-2.8377,-0.009,-0.3661,0.0193,1.0,0.0123,-0.0267,0.1777,-0.0817,0.111,165.09,13.5,-10.5
401620253,20240529,2024,WSH,ATL,67,73,2.25,1.65,3.5,1.84,1.95,162.5,1.78,2.0,6,7,-6,140,0,0.0,0.0,-0.1278,-0.1098,-38.1,-4.201,1.0,0.0,-10.4,-0.08,164.99,0.0255,-0.0039,-0.0582,0.0871,-0.0458,0.81,0.0469,-0.2298,-0.1999,-0.2818,1.732,-0.022,-0.4466,-0.2422,0.0,-0.0707,-0.2245,-0.1294,-0.3214,-0.6615,165.09,-3.5,-2.5
401620254,20240529,2024,MIN,LV,66,80,2.54,1.51,4.5,1.85,1.96,169.5,1.88,1.91,6,7,-14,146,0,0.0,0.0,-0.1834,-0.1115,-144.0,-1.423,-1.0,0.0,-3.36,1.17,166.09,0.0546,-0.0066,0.0015,-0.0164,0.0323,5.32,-0.069,-0.0586,-0.0621,-0.022,3.9827,-0.065,2.2995,-0.0102,0.0,0.1537,0.208,-0.1058,-0.1917,-0.1466,164.98,-4.5,-9.5
401620255,20240530,2024,IND,SEA,88,103,2.84,1.43,2.5,2.24,1.62,167.5,1.9,1.9,6,7,-15,191,0,0.0,1.0,-0.2068,-0.2637,-54.8,-5.149,0.0,0.0,-14.76,-2.85,165.92,-0.01,-0.0266,-0.0054,0.0646,-0.0088,-3.16,-0.154,-0.1123,-0.0473,-0.6301,0.8923,-0.0184,-0.4153,0.0905,1.0,-0.1893,-0.1018,-0.2027,-0.1397,-0.4433,164.67,-2.5,-12.5
401620256,20240530,2024,CHI,LA,83,73,1.52,2.54,-4.5,1.9,1.9,160.5,1.91,1.91,6,7,10,156,1,1.0,0.0,0.0585,0.085,35.8,2.429,0.0,0.0,-0.47,-1.23,164.9,-0.0186,0.0581,-0.0929,-0.0893,-0.0355,1.8,0.2523,-0.222,-0.0576,0.0385,2.066,0.0012,0.3136,0.0351,1.0,-0.0007,0.3423,0.1882,0.042,0.3897,164.99,4.5,5.5
401620257,20240531,2024,ATL,LV,78,74,3.99,1.25,8.5,1.87,1.92,170.5,1.78,2.0,6,7,4,152,1,1.0,0.0,-0.3752,-0.4074,-196.5,-0.008,0.0,0.0,-7.48,0.36,165.23,0.038,0.0092,0.0311,-0.0933,0.0289,1.29,-0.3326,-0.0533,-0.2966,-0.5117,4.1961,-0.0664,0.1578,0.1264,1.0,-0.1231,-0.0882,-0.1344,0.0333,-0.387,164.78,-8.5,12.5
401620258,20240531,2024,CON,DAL,74,72,1.25,3.91,-8.5,1.9,1.9,160.5,1.85,1.93,6,7,2,146,1,0.0,0.0,0.0389,0.0795,36.4,1.472,-2.0,0.0,6.3,-2.36,164.03,-0.0119,-0.0548,0.0288,0.0227,0.0119,-1.74,-0.1796,0.3345,-0.0311,0.3291,0.1826,-0.0078,-3.0878,0.1839,3.0,-0.072,0.041,-0.2207,0.0111,-0.1608,164.76,8.5,-6.5
401620259,20240531,2024,NY,WSH,90,79,1.09,7.27,-15.5,2.17,1.7,160.5,1.91,1.9,6,7,11,169,1,0.0,1.0,0.3173,0.3437,190.4,2.628,0.0,0.0,9.83,-1.64,163.72,-0.0029,0.0232,0.0199,0.0037,-0.0261,0.93,0.2085,0.1376,0.3155,0.4996,-5.283,0.0301,1.835,0.119,0.0,0.2694,0.2044,0.2689,0.1717,0.8023,164.67,15.5,-4.5
401620260,20240531,2024,MIN,PHX,95,71,1.32,3.33,-6.5,1.89,1.91,164.5,1.88,1.91,6,7,24,166,1,1.0,1.0,0.3024,0.3157,129.9,1.954,0.0,0.0,10.68,0.3,165.54,0.017,-0.0146,-0.0021,-0.0606,0.0503,2.71,0.3674,-0.1525,0.2159,0.5884,0.3979,0.0147,0.1887,-0.0081,2.0,0.2686,0.2493,0.1105,-0.1711,0.3053,164.63,6.5,17.5
401620261,20240601,2024,IND,CHI,71,70,1.97,1.82,1.5,1.9,1.91,166.5,1.86,1.91,6,7,1,141,1,1.0,0.0,-0.1441,-0.2308,-137.1,-5.068,0.0,0.0,-10.89,0.15,163.41,-0.0046,-0.0658,0.0071,0.1016,-0.0101,-3.58,-0.2781,0.1341,-0.0752,-0.6995,-1.7917,0.0637,0.2237,0.1554,0.0,-0.0977,-0.1448,-0.1924,-0.0293,-0.3445,164.41,-1.5,2.5
401620262,20240602,2024,ATL,CON,50,69,2.16,1.7,2.5,1.91,1.91,159.5,1.91,1.87,6,7,-19,119,0,0.0,0.0,-0.0777,-0.1183,-108.1,1.639,0.0,0.0,-7.02,2.98,162.01,0.0189,-0.0837,0.0235,0.0432,0.0944,-0.6,0.0087,-0.1872,-0.0792,-0.3386,1.4325,0.0503,0.4813,-0.0407,0.0,-0.0104,-0.0927,-0.0108,0.0742,-0.0688,164.35,-2.5,-16.5
401620263,20240602,2024,NY,IND,104,68,1.08,8.03,-15.5,2.0,1.78,164.5,1.81,2.04,6,7,36,172,1,1.0,1.0,0.3031,0.3899,219.8,2.959,1.0,-1.0,6.96,0.42,162.13,0.0197,0.0121,0.0239,0.0574,-0.019,1.74,0.1417,0.266,0.1347,0.7565,-3.0659,0.0194,-0.1371,-0.2077,0.0,0.1626,0.0953,0.1591,0.0394,0.3954,164.03,15.5,20.5
401620264,20240602,2024,MIN,DAL,87,76,1.35,3.19,-7.5,2.0,1.81,162.5,1.87,1.92,6,7,11,163,1,1.0,1.0,0.1743,0.1424,-33.6,0.89,0.0,0.0,7.85,0.97,163.34,0.0107,-0.124,0.0275,0.1401,0.0581,2.3,-0.4044,0.6089,0.0636,0.24,-0.2381,0.0336,-0.5666,0.0282,4.0,0.1954,0.2514,-0.1907,-0.2573,-0.1105,164.06,7.5,3.5
401620265,20240602,2024,PHX,LA,87,68,1.48,2.67,-4.5,1.86,1.95,163.5,2.0,1.84,6,7,19,155,1,1.0,0.0,0.0024,0.0667,-107.6,-2.849,-1.0,0.0,-11.37,-1.44,165.15,-0.0282,-0.0199,-0.1099,0.092,-0.0344,0.82,-0.0954,0.2541,-0.0047,-0.3934,0.1767,0.0345,1.5036,-0.0009,2.0,0.0147,0.3043,0.0498,0.1024,0.3992,163.89,4.5,14.5
401620266,20240604,2024,CON,WSH,76,59,1.09,7.52,-14.5,2.01,1.77,152.5,1.91,1.87,6,7,17,135,1,1.0,0.0,0.2843,0.3171,187.9,5.946,-2.0,0.0,21.69,-2.19,161.56,-0.0338,0.0762,0.043,-0.1197,-0.0294,0.26,-0.0891,0.5921,0.2247,0.9686,-3.597,-0.082,0.3329,0.2521,1.0,0.0518,0.1913,0.2867,0.2707,0.7541,163.84,14.5,2.5
401620267,20240604,2024,CHI,NY,75,88,4.01,1.24,6.5,2.13,1.71,161.5,1.63,2.1,6,7,-13,163,0,0.0,1.0,-0.2403,-0.2537,-97.8,2.094,1.0,0.0,-6.43,0.17,162.79,0.0048,0.07,-0.0228,-0.1746,-0.0076,1.36,-0.0973,-0.1247,-0.1854,-0.362,4.6675,-0.0934,-0.6097,0.0975,0.0,-0.1333,0.0527,0.0761,0.1393,0.0228,163.65,-6.5,-6.5
401620268,20240604,2024,SEA,PHX,80,62,1.43,2.85,-7.5,2.26,1.65,163.5,1.91,1.91,6,7,18,142,1,1.0,0.0,0.2186,0.068,85.6,4.606,3.0,0.0,18.29,2.16,166.31,-0.0095,0.0251,-0.0249,-0.1636,-0.016,2.85,0.2949,-0.3823,0.1197,0.5228,1.4571,0.0117,1.04,0.0501,0.0,0.1085,0.1374,0.0472,0.0837,0.2038,163.57,7.5,10.5
401620269,20240605,2024,DAL,LV,81,95,4.21,1.23,7.5,2.0,1.77,166.5,1.81,1.95,6,7,-14,176,0,0.0,1.0,-0.3234,-0.3531,-124.7,-2.992,-2.0,0.0,-6.26,-0.76,165.29,0.052,0.1313,-0.044,-0.1477,-0.0111,2.66,-0.1325,-0.2167,-0.2201,-0.3779,2.0599,-0.0572,2.1256,0.0502,2.0,0.0333,-0.1432,0.0578,-0.1326,-0.3172,163.62,-7.5,-6.5
401620270,20240605,2024,LA,MIN,62,86,3.52,1.3,7.5,1.87,1.93,156.5,1.95,1.85,6,7,-24,148,0,0.0,0.0,-0.4541,-0.4174,-62.9,0.003,0.0,0.0,-16.86,-0.43,165.34,0.0331,0.0044,0.1228,-0.0136,-0.0229,-5.75,-0.2803,-0.2357,-0.2128,-0.7428,0.4944,-0.0743,-2.3012,0.0302,0.0,-0.2758,-0.5693,-0.0727,-0.029,-0.7175,163.71,-7.5,-16.5
401620271,20240606,2024,WSH,CHI,71,79,2.33,1.61,3.5,1.85,1.96,155.5,1.87,1.92,6,7,-8,150,0,0.0,0.0,-0.0753,-0.13,-97.8,-6.43,0.0,0.0,-10.27,-1.75,162.28,0.0264,-0.0938,-0.0449,0.1735,0.005,-3.61,0.0693,-0.3435,-0.1307,-0.4919,0.7902,0.0421,-1.5218,-0.0802,0.0,-0.1576,-0.3563,-0.3174,-0.4453,-1.0104,163.35,-3.5,-4.5
401620272,20240606,2024,ATL,NY,61,78,3.09,1.37,6.5,1.84,1.96,163.5,1.9,1.91,6,7,-17,139,0,0.0,0.0,-0.2735,-0.3622,-162.8,0.106,2.0,0.0,-15.16,-0.87,163.1,0.0008,-0.0391,0.0293,-0.1262,0.0349,-0.42,0.0593,-0.4327,-0.3904,-0.597,1.183,-0.0507,-0.437,0.1426,1.0,-0.2505,-0.0671,-0.0968,-0.0034,-0.463,163.29,-6.5,-10.5
401620273,20240607,2024,WSH,IND,83,85,2.44,1.56,1.5,2.21,1.66,161.5,1.91,1.88,6,7,-2,168,0,0.0,1.0,0.1281,0.1349,16.4,1.218,-4.0,1.0,1.59,0.57,162.43,0.0492,-0.0196,0.007,0.0081,-0.001,0.17,0.3277,-0.269,-0.0664,0.0791,2.2873,0.0062,-0.8406,-0.3323,1.0,0.0077,-0.1509,-0.0483,-0.3345,-0.4859,163.07,-1.5,-0.5
401620274,20240607,2024,LV,SEA,65,78,1.28,3.64,-10.5,2.31,1.62,166.5,1.91,1.91,6,7,-13,143,0,0.0,0.0,0.1802,0.207,194.6,-0.786,-1.0,0.0,-8.4,-1.15,167.61,-0.0347,-0.0373,0.0028,0.1015,-0.0125,-4.17,0.1429,0.0633,0.0977,0.111,-2.4971,0.0376,-1.7575,-0.0396,0.0,-0.1717,-0.1898,0.0263,-0.0359,-0.0688,163.13,10.5,-23.5
401620275,20240607,2024,LA,DAL,81,72,2.39,1.57,2.5,2.01,1.77,160.5,1.89,1.91,6,7,9,153,1,1.0,0.0,-0.2262,-0.1941,-86.4,-0.254,0.0,0.0,-7.46,0.25,165.07,0.0201,-0.1076,0.1148,0.1106,0.0322,-2.24,-0.1204,-0.1636,-0.1231,-0.2401,0.4686,-0.0315,-2.0549,0.063,0.0,-0.1317,-0.219,-0.2327,-0.1362,-0.5888,163.07,-2.5,11.5
401620276,20240607,2024,PHX,MIN,81,80,2.77,1.44,4.5,1.95,1.86,161.5,1.89,1.91,6,7,1,161,1,1.0,0.0,-0.462,-0.4383,-163.9,-4.242,1.0,0.0,-21.8,-0.01,165.23,-0.0064,-0.0075,0.0322,0.052,-0.0753,-3.34,-0.7106,0.2908,-0.3659,-0.9927,-1.2808,-0.0452,-0.7795,-0.0905,1.0,-0.3322,-0.2698,-0.1148,0.2375,-0.364,162.83,-4.5,5.5
401620277,20240608,2024,CON,NY,75,82,2.13,1.72,1.5,1.93,1.85,154.5,1.93,1.87,6,7,-7,157,0,0.0,1.0,-0.0743,-0.1019,-32.6,1.196,2.0,0.0,-3.11,-3.06,160.55,-0.0029,0.0269,0.065,-0.1571,-0.0083,-0.84,-0.5597,0.5706,-0.1198,0.1209,0.0746,-0.1574,-1.3476,0.0194,2.0,-0.195,0.0105,-0.1671,-0.0927,-0.3496,162.9,-1.5,-5.5
