game_id,player,side,nfoul,t3,f3_h1,t2,times
401507136,Kristi Toliver,away,2,,0,1910.0,569|1910
401507136,Natasha Cloud,away,3,1458.0,0,1156.9,866|1157|1458
401507136,Olivia Nelson-Ododa,home,2,,0,1179.9,915|1180
401507136,Tyasha Harris,home,2,,0,2210.0,975|2210
401507136,Shatori Walker-Kimbrough,away,2,,0,2393.9,1009|2394
401507136,Eric Thibault,away,1,,0,,1033
401507136,Ariel Atkins,away,3,2354.0,0,1301.0,1109|1301|2354
401507136,Elena Delle Donne,away,4,2315.0,0,2217.0,1326|2217|2315|2374
401507136,Amanda Zahui B.,away,2,,0,1731.0,1700|1731
401507136,Brittney Sykes,away,2,,0,2385.0,1947|2385
401507136,Brionna Jones defensive 3-seconds (technical,home,1,,0,,2055
401507137,Erica Wheeler,away,3,1045.0,1,591.8,29|592|1045
401507137,Aliyah Boston,away,2,,0,1280.0,115|1280
401507137,Jonquel Jones,home,2,,0,212.0,202|212
401507137,Emma Cannon,away,1,,0,,388
401507137,Betnijah Laney,home,3,2290.0,0,639.0,433|639|2290
401507137,Lexie Hull,away,1,,0,,463
401507137,Kristy Wallace,away,2,,0,1822.0,472|1822
401507137,Kayla Thornton,home,3,1164.9,1,684.0,635|684|1165
401507137,Courtney Vandersloot,home,3,949.0,1,846.0,645|846|949
401507137,NaLyssa Smith,away,3,1383.0,0,1023.0,732|1023|1383
401507137,Breanna Stewart,home,3,2211.0,0,1771.9,925|1772|2211
401507137,Kelsey Mitchell,away,1,,0,,1176
401507137,Queen Egbo,away,1,,0,,1538
401507137,Stefanie Dolson,home,2,,0,1575.0,1569|1575
401507137,Maya Caldwell,away,1,,0,,1667
401507137,Epiphanny Prince,home,3,1976.0,0,1730.0,1684|1730|1976
401507137,Han Xu,home,1,,0,,2316
401507138,Elizabeth Williams,away,5,1077.0,1,1022.0,14|1022|1077|1231|2196
401507138,Diana Taurasi,home,5,1398.0,0,981.0,109|981|1398|1398|1667
