game_id,side,recon_ok,err,pts,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,opp_oreb,opp_dreb,opp_fga,opp_fgm,opp_tpa,opp_tpm,opp_fta,opp_pts,final
401507256,away,1,0,79,62,29,19,7,19,14,7,33,6,27,58,24,25,7,18,63,79
401507257,home,0,1,88,72,30,24,11,18,17,8,20,12,36,69,35,31,11,17,96,87
401507257,away,0,0,96,69,35,31,11,17,15,12,36,8,20,72,30,24,11,18,88,96
401507258,home,1,0,78,64,21,26,6,37,30,10,28,6,33,59,29,23,7,28,86,78
401507258,away,1,0,86,59,29,23,7,28,21,6,33,10,28,64,21,26,6,37,78,86
401507261,home,1,0,81,74,32,27,8,10,9,8,28,4,30,64,36,26,8,24,98,81
401507261,away,1,0,98,64,36,26,8,24,18,4,30,8,28,74,32,27,8,10,81,98
401507260,home,1,0,98,75,41,19,6,15,10,13,25,3,21,57,32,18,8,14,84,98
401507260,away,1,0,84,57,32,18,8,14,12,3,21,13,25,75,41,19,6,15,98,84
401507259,home,1,0,75,57,28,12,3,20,16,4,20,18,26,67,29,21,8,31,90,75
401507259,away,1,0,90,67,29,21,8,31,24,18,26,4,20,57,28,12,3,20,75,90
401507263,home,1,0,84,62,30,21,7,21,17,6,29,5,25,58,26,21,8,12,69,84
401507263,away,1,0,69,58,26,21,8,12,9,5,25,6,29,62,30,21,7,21,84,69
401507262,home,1,0,101,64,37,33,17,14,10,11,24,8,17,62,30,17,8,17,83,101
401507262,away,1,0,83,62,30,17,8,17,15,8,17,11,24,64,37,33,17,14,101,83
401507264,home,0,0,78,59,31,17,8,12,8,6,29,8,25,59,24,23,6,15,66,78
401507264,away,0,1,66,59,24,23,6,15,12,8,25,6,29,59,31,17,8,12,78,65
401507265,home,1,0,86,75,32,34,10,14,12,13,34,7,28,65,30,29,11,14,82,86
401507265,away,1,0,82,65,30,29,11,14,11,7,28,13,34,75,32,34,10,14,86,82
401507266,home,1,0,95,64,33,23,13,19,16,9,25,9,26,73,38,23,7,27,107,95
