game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop
401105015,2019,-11.0,169.0,0.0558,0.0194,19.6,0,0,0,2.49,0.59,156.59,-0.0169,0.0077,-0.0011,-0.1397,-0.0502,-1.6,-0.1101,0.1402
401105016,2019,5.0,133.0,0.1657,0.2168,86.0,0,3,-1,13.17,5.94,157.6,0.0011,0.0273,-0.0454,0.0032,-0.0108,1.63,-0.2763,0.5722
401105017,2019,-7.0,183.0,-0.2916,-0.3389,-84.5,0,0,0,-1.71,-0.17,159.63,0.0334,0.0663,0.0178,-0.1137,0.0096,-3.26,-0.1792,-0.2271
401105018,2019,29.0,167.0,0.1627,0.2087,123.4,0,3,0,-1.8,-0.54,159.97,0.0169,-0.0031,-0.0212,-0.0167,0.0901,-0.11,-0.238,0.6413
401105019,2019,3.0,135.0,-0.0465,-0.0183,-34.6,0,-3,0,-4.88,-6.78,164.16,0.0283,0.0504,-0.0822,0.1725,0.0042,1.1,-0.1199,0.1479
401105020,2019,5.0,161.0,-0.2242,-0.2292,-87.4,0,3,0,-15.27,2.11,161.94,0.0221,-0.0364,0.0505,-0.0383,0.0032,-0.78,-0.1861,-0.0432
401105021,2019,-4.0,136.0,-0.0991,-0.157,-83.9,0,-1,0,-4.68,-0.01,150.03,0.0294,0.1124,-0.0449,-0.0087,0.0317,-0.47,0.1213,-0.302
401105022,2019,28.0,158.0,0.5262,0.6327,148.4,0,0,0,6.71,0.81,160.19,-0.0364,-0.0538,-0.0424,0.0356,0.0482,0.27,0.4314,0.3141
401105023,2019,8.0,148.0,0.2804,0.3831,28.3,0,2,0,10.43,1.99,163.83,0.0081,-0.0824,-0.0244,0.0594,0.0501,1.73,-0.1365,0.6895
401105024,2019,5.0,153.0,0.0778,0.0685,36.3,0,-2,0,8.27,6.31,164.72,0.0055,-0.0743,0.0776,-0.0267,0.0735,2.45,-0.0248,0.1244
401105025,2019,-12.0,144.0,-0.2903,-0.3013,-96.1,0,-1,0,-13.19,0.76,158.94,0.0227,-0.0077,0.0541,-0.0015,-0.0612,-0.29,-0.1011,-0.2643
401105026,2019,17.0,141.0,0.1156,0.073,29.5,0,-2,0,1.35,5.41,165.49,-0.0075,-0.0524,0.0658,-0.1677,0.0106,-3.08,-0.1961,0.3456
401105027,2019,18.0,172.0,0.0344,0.1022,51.4,0,1,0,8.13,-5.8,157.67,-0.024,-0.1111,0.0329,0.0642,-0.0132,-0.04,-0.1804,0.2923
401105028,2019,7.0,133.0,0.2226,0.2295,125.3,0,1,0,20.87,-1.88,161.34,-0.0182,0.0522,-0.1163,0.0541,-0.0189,2.0,-0.3769,0.908
401105029,2019,-8.0,150.0,-0.3075,-0.3191,-68.7,0,0,0,-2.92,-0.55,160.46,0.0447,0.0592,-0.0437,-0.1452,-0.031,-0.54,-0.473,0.1986
401105030,2019,6.0,194.0,-0.2034,-0.2366,62.7,0,0,0,6.0,-1.76,162.26,-0.0224,0.0796,-0.0254,-0.0199,-0.0128,1.5,-0.1234,-0.0986
401105031,2019,6.0,192.0,0.3195,0.2984,63.4,0,0,0,3.55,4.69,156.89,-0.0035,0.0414,-0.0321,0.0543,-0.0086,2.2,0.3905,-0.0119
401105032,2019,32.0,140.0,0.4034,0.3925,145.0,0,0,0,12.94,8.4,159.26,0.0077,-0.0407,0.0946,-0.0784,0.0587,3.62,-0.1243,0.7089
401105033,2019,2.0,120.0,0.1857,0.1797,51.1,0,0,0,4.99,1.84,159.76,-0.0144,-0.0024,-0.0284,-0.0638,0.0935,-1.93,0.3211,-0.2148
401105034,2019,6.0,130.0,0.0921,0.0548,50.9,0,0,0,11.37,4.76,158.58,0.0298,0.1367,-0.0372,-0.0146,0.0203,2.25,-0.3305,0.6515
401105035,2019,23.0,151.0,-0.0975,-0.1347,-23.8,0,-3,0,-1.81,-4.51,156.77,-0.0145,0.0265,-0.1237,0.0341,-0.0435,-1.57,-0.0515,-0.0668
401105036,2019,8.0,144.0,-0.1609,-0.1426,-50.4,0,3,0,-7.97,-4.33,161.24,-0.017,0.0518,-0.0908,0.086,-0.0634,-0.89,-0.0767,-0.279
401105037,2019,-20.0,178.0,-0.3368,-0.3562,-76.0,0,2,0,-6.84,-0.75,159.8,0.0708,0.0465,0.0086,0.0152,0.0507,3.14,-0.5112,0.2048
401105038,2019,-12.0,162.0,-0.5246,-0.578,-98.4,0,-1,0,-18.82,-3.05,162.96,-0.009,0.0476,-0.0053,-0.0159,-0.1246,0.97,0.1249,-1.0877
401105039,2019,11.0,161.0,-0.2136,-0.2234,-42.4,0,-2,0,-4.34,1.86,160.23,-0.0272,-0.0458,0.1019,0.0188,0.0007,-1.67,0.0306,-0.34
401105040,2019,-5.0,145.0,-0.3642,-0.3404,-139.0,0,0,0,-12.75,-5.5,159.6,0.0183,0.044,-0.0717,0.0816,-0.1048,-1.83,-0.2422,-0.0629
401105041,2019,-15.0,173.0,-0.3622,-0.4107,-155.3,0,0,0,-21.75,-0.32,162.05,0.0332,-0.0767,0.1531,-0.0333,0.0069,-1.05,0.3791,-1.0571
401105042,2019,8.0,158.0,0.0781,0.0515,30.8,0,1,0,9.92,-0.43,158.39,-0.0307,-0.0146,-0.0424,-0.0486,0.0129,-0.85,0.1675,-0.2336
401105043,2019,21.0,185.0,-0.4429,-0.2631,-92.8,0,1,0,-11.6,-2.61,157.26,0.0141,-0.0673,0.0085,-0.0537,-0.0432,-0.37,-0.3177,-0.075
401156333,2019,-29.0,169.0,-0.1446,-0.1667,-21.0,0,1,-1,3.26,2.98,161.18,0.0432,-0.0013,0.0919,-0.1227,0.0614,2.51,-0.2436,0.1072
401105044,2019,-16.0,154.0,-0.3394,-0.3913,-100.4,0,0,0,-10.07,1.81,161.44,-0.0264,-0.0438,0.1069,0.105,-0.0486,0.37,-0.3221,-0.0559
401105045,2019,9.0,193.0,0.4986,0.5954,100.5,0,1,0,15.63,2.08,166.21,-0.022,-0.0341,-0.104,0.0673,0.0535,-0.33,-0.0075,0.8096
401105046,2019,13.0,169.0,0.5038,0.6142,147.2,0,-2,0,11.75,-2.42,159.77,-0.031,0.0049,-0.0248,0.1022,0.0384,-0.54,0.4287,0.239
401105047,2019,10.0,158.0,0.0212,-0.1267,3.0,0,0,0,-0.47,0.95,155.97,0.0099,0.0903,-0.0315,0.0084,-0.004,2.86,-0.1877,0.2388
401105048,2019,12.0,126.0,0.1356,0.1353,73.9,0,-1,0,-3.41,2.45,157.86,0.0096,-0.0013,-0.0052,0.0623,0.0161,1.7,-0.5607,0.9997
401105049,2019,32.0,146.0,-0.1117,-0.1406,-81.5,0,-2,0,-14.81,-1.36,161.19,0.0257,-0.0085,-0.0575,-0.0844,-0.0674,-0.55,0.067,-0.2323
401105050,2019,-3.0,171.0,-0.1302,-0.1549,31.1,0,2,0,-4.38,-3.65,165.87,-0.0005,0.0468,0.0238,-0.0961,0.0622,1.03,0.1571,-0.4513
401105051,2019,5.0,169.0,0.2241,0.1697,85.7,0,-2,0,8.71,-2.74,161.61,-0.0052,0.0241,-0.0224,-0.0765,0.1036,-2.42,0.6486,-0.6934
401105052,2019,-3.0,157.0,0.2062,0.2896,111.8,0,0,0,8.62,1.14,153.87,-0.0338,-0.0815,0.0565,0.0142,-0.0022,-1.04,0.3033,-0.1429
401105053,2019,-15.0,153.0,-0.2244,-0.2558,-94.0,0,1,0,-5.16,3.85,162.36,0.0134,-0.0502,0.0851,-0.0618,0.0132,-3.9,0.412,-0.9902
