game_id,matchup_diff,margin,season
401578573,-3.6458761796755943,14.0,2023
401578574,-1.970583137246889,-1.0,2023
401649378,-1.9241546514771897,11.0,2024
401653060,-1.8107838483109198,3.0,2024
401647556,2.2134499377888117,-5.0,2024
401653631,-0.2688988020998471,3.0,2024
401649379,-0.9521598388729696,48.0,2024
401649380,4.2367839624585875,26.0,2024
401653632,-0.39556690487118407,-6.0,2024
401649560,1.0154565180454145,-3.0,2024
401653633,-2.4350988488700884,3.0,2024
401653634,-3.569622835551465,-13.0,2024
401653736,3.4018991555024023,52.0,2024
401620178,-1.8062808343840369,-5.0,2024
401620219,0.78208312855476,21.0,2024
401620220,8.99273122199218,9.0,2024
401620221,2.936950071296331,-13.0,2024
401620222,-3.466650135630302,8.0,2024
401620223,-2.145052373206358,-11.0,2024
401620224,-2.380598452117501,-36.0,2024
401620225,1.7917497320650946,7.0,2024
401620226,-2.279991079702393,9.0,2024
401620227,2.676553095245459,11.0,2024
401620228,5.33156702090338,7.0,2024
401620229,-2.9759131131922505,-9.0,2024
401620230,-5.078889955025403,3.0,2024
401620231,-2.4437445991336286,-9.0,2024
401620232,-1.322170969629689,-4.0,2024
401620233,-0.2805247651456231,11.0,2024
401620234,1.8754835519870516,5.0,2024
401620235,6.230401610408622,-10.0,2024
401620236,0.17174756076668518,2.0,2024
401620237,3.5663739757490083,2.0,2024
401620238,-0.35570242984111455,1.0,2024
401620239,-0.2760143999921467,-9.0,2024
401620240,-2.4218685528216097,3.0,2024
401620241,-0.6246285782587564,-5.0,2024
401620242,-1.6051810479158466,17.0,2024
401620243,2.5059473459869133,-4.0,2024
401620244,3.235066800282475,19.0,2024
401620245,4.022094673959284,32.0,2024
401620246,-1.7707084370486084,-15.0,2024
401620247,1.371239439934055,-13.0,2024
401620248,-0.9400500576320014,-1.0,2024
401620249,2.642066526910833,23.0,2024
401620250,-0.4283660264942699,-6.0,2024
401620251,-1.352722553765642,-9.0,2024
401620252,3.178104922727626,3.0,2024
401620253,-4.201003205375896,-6.0,2024
401620254,-1.4229172573183733,-14.0,2024
401620255,-5.1487181199316545,-15.0,2024
401620256,2.428553194591854,10.0,2024
401620257,-0.00828495122688877,4.0,2024
401620258,1.4724123322729197,2.0,2024
401620259,2.627638798492284,11.0,2024
401620260,1.9542429984304042,24.0,2024
401620261,-5.067606915935159,1.0,2024
401620262,1.6394826290571833,-19.0,2024
401620263,2.959360847581992,36.0,2024
401620264,0.8903059763528742,11.0,2024
