game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv
401507166,2023,3.0,129.0,-0.2748,-0.3597,-79.4,-7.318,0,0,-12.09,-2.12,166.65,0.0045,0.023,-0.0138,0.0359,-0.0074,0.61,0.2525,-0.8217,-0.3097,-0.5053,1.3678,-0.0601,4.1607,-0.1268,0,-0.1282,-0.3034,0.1814,0.0533,-0.2259,161.19
401507168,2023,5.0,163.0,0.0021,-0.0795,32.8,-5.423,-2,0,6.69,2.08,163.85,-0.0647,0.067,-0.0905,-0.0118,-0.0169,1.43,-0.0541,-0.0509,-0.2333,0.1906,-1.2148,0.0356,-2.3837,0.0041,0,-0.4627,0.1896,0.3266,0.4478,0.4845,157.24
401507169,2023,17.0,171.0,-0.3968,-0.4027,-49.8,2.762,0,0,-12.74,-3.24,166.1,0.0335,0.0973,0.0314,-0.0348,-0.0033,-4.16,-0.5222,0.1765,-0.3368,-0.4357,3.9341,-0.0626,-2.226,0.0,3,-0.7586,-0.5971,0.1245,-0.0543,-0.845,157.36
401507170,2023,-23.0,189.0,-0.194,-0.113,-30.2,0.046,0,0,-4.31,6.08,167.58,-0.0274,0.0434,0.0859,-0.0999,-0.0107,-0.34,-0.2955,0.2936,-0.0988,-0.068,0.0042,0.0131,-0.091,0.0064,0,0.0239,-0.2024,0.1111,0.3456,0.2097,157.63
401507171,2023,13.0,167.0,-0.0312,-0.0277,41.7,-4.992,0,0,5.15,2.25,166.26,-0.0505,0.1085,-0.0435,-0.0214,-0.028,0.37,0.3197,-0.4566,-0.1156,0.2703,-2.6157,0.0267,-1.9906,0.0919,1,-0.3607,-0.0678,0.4334,0.4583,0.4909,158.23
401507172,2023,-2.0,140.0,-0.0279,0.0007,-12.2,1.157,2,0,-1.9,-1.71,163.28,0.0107,-0.0073,0.0911,0.0217,-0.0255,-0.97,-0.0112,0.0179,-0.1023,0.0644,-3.4403,0.0577,-0.8088,0.0323,1,-0.0487,-0.0697,0.0693,-0.1465,-0.1245,158.4
401507173,2023,15.0,139.0,-0.0684,-0.0825,-17.9,1.04,0,0,-4.09,0.78,166.7,-0.0,-0.0455,0.0414,-0.0033,-0.0439,-0.48,-0.1904,0.0779,0.0155,-0.0143,1.695,0.0427,-2.5116,-0.0564,0,0.1219,-0.0211,-0.0909,-0.2062,-0.2294,158.06
401507174,2023,-7.0,139.0,-0.3032,-0.3999,-57.7,-5.264,-2,0,-7.59,-0.03,164.31,-0.0192,0.0593,-0.0157,-0.0397,0.0198,1.25,-0.1037,-0.4438,-0.1663,-0.4859,1.1875,-0.1322,2.243,0.1105,0,0.0064,0.1223,0.1289,-0.1847,-0.0945,157.71
401507175,2023,9.0,195.0,0.3107,0.344,15.6,-1.03,0,0,5.21,-2.89,166.57,0.0188,-0.1216,-0.0477,0.0417,0.0783,0.1,0.0301,0.4056,0.3493,-0.0062,-0.8245,-0.0296,0.608,0.1627,0,0.331,0.3591,-0.3059,-0.2181,0.1083,157.38
401507176,2023,13.0,173.0,0.2764,0.2835,57.0,-3.931,1,0,7.05,0.84,166.48,-0.0117,-0.049,0.0806,0.0431,-0.0081,1.68,0.0806,0.2324,0.1875,0.3928,-1.2259,0.0753,-0.0476,-0.054,1,0.3958,0.1384,-0.0708,-0.0627,0.2604,158.04
401507177,2023,-12.0,166.0,-0.3509,-0.2919,-94.2,-1.514,-1,0,-8.12,5.87,168.44,-0.0002,-0.0632,-0.0187,0.0072,-0.0075,-0.77,-0.2525,-0.052,-0.2157,-0.5479,-0.9633,0.0253,1.0028,-0.0211,0,-0.0403,-0.2564,-0.0103,0.1791,-0.1406,158.29
401507178,2023,-3.0,167.0,-0.0158,-0.017,12.5,-2.222,0,0,3.36,-0.22,164.31,-0.042,0.0302,-0.1039,-0.0686,0.059,-3.73,0.0152,-0.0225,0.0992,0.1762,-0.0044,-0.0598,-3.7178,0.1543,2,-0.5024,-0.31,0.1497,0.1195,-0.1684,158.42
401507179,2023,-6.0,136.0,-0.3074,-0.2911,-75.3,-4.298,0,0,-5.2,0.64,163.26,-0.0121,0.0042,-0.0204,-0.0291,0.0176,0.99,-0.2462,-0.078,-0.0798,-0.5937,0.6783,-0.1313,2.363,0.0252,1,0.0166,-0.1525,-0.0323,0.2368,0.0297,158.57
401507180,2023,5.0,177.0,-0.1834,-0.2322,-76.7,-3.808,0,0,-6.26,-3.07,164.04,0.0267,0.0264,0.0289,0.0258,0.015,-3.01,0.028,-0.2503,-0.1828,-0.522,0.2997,-0.0038,0.396,0.0086,0,-0.3231,-0.4957,0.0739,-0.192,-0.6494,158.2
401507181,2023,21.0,153.0,-0.0733,-0.0918,-55.7,-0.846,0,0,-5.58,0.06,161.87,-0.0132,0.0435,-0.0829,-0.0678,0.0116,-3.68,-0.1113,0.0404,0.2657,-0.4123,2.3032,-0.1244,-0.5597,0.1668,2,-0.1366,-0.1108,0.0167,-0.0135,-0.0137,158.5
401507182,2023,-7.0,165.0,0.5728,0.4743,87.6,0.068,0,0,14.17,-5.5,169.27,-0.0173,-0.0366,-0.0881,0.0991,0.0404,1.01,0.3542,0.1096,0.5668,0.4421,-1.3389,0.0245,0.4352,0.0157,0,0.3289,0.643,-0.1029,-0.3143,0.5004,158.41
401507183,2023,-14.0,152.0,0.1787,0.2144,35.8,5.651,0,0,2.2,-0.16,162.72,0.039,0.0214,0.0559,0.0392,0.009,-1.64,-0.0684,0.4604,0.2868,0.0547,1.2149,0.0648,-0.247,0.0007,0,0.1476,-0.0265,-0.1282,-0.2324,-0.112,158.52
401507184,2023,-18.0,140.0,-0.068,-0.1088,-9.4,-4.318,0,0,-3.27,1.84,168.31,-0.0065,0.1342,0.0041,0.042,-0.0338,0.07,0.426,-0.5869,-0.0758,-0.1635,1.7148,0.032,1.7341,-0.1225,1,-0.278,-0.125,0.4606,0.2963,0.3808,158.42
401507185,2023,-4.0,180.0,0.2929,0.2893,105.5,0.071,2,0,10.83,-3.63,168.85,-0.0225,0.027,0.0307,-0.0244,0.0116,1.23,0.0619,0.2897,0.2087,0.522,-0.306,-0.0529,-1.0623,0.1159,1,0.0312,0.4696,-0.0868,0.0029,0.3795,158.14
401507186,2023,-2.0,182.0,-0.0093,0.0921,34.7,-0.579,2,0,-8.26,1.95,162.68,0.004,-0.0521,-0.0148,0.0049,0.0307,3.83,0.0519,0.0191,-0.0665,-0.234,-4.5367,-0.0075,2.1182,0.0334,0,0.2923,0.5048,-0.0275,-0.1161,0.296,158.46
401507187,2023,33.0,159.0,0.5556,0.5512,140.6,-0.375,2,0,2.01,1.81,163.69,0.0048,-0.0085,0.022,-0.0159,0.0347,0.06,0.1053,0.5765,0.3815,0.4844,-2.1945,0.0702,-0.7655,0.1036,1,0.3143,0.0195,-0.0974,-0.1005,0.2214,158.81
401507188,2023,19.0,157.0,0.0571,0.0874,55.2,-1.079,0,0,4.56,-0.13,161.91,-0.0249,0.0029,-0.0064,0.0047,0.0049,-0.27,-0.1705,0.3266,-0.1845,0.339,-1.5953,0.0294,-1.6419,-0.082,0,0.0048,0.0162,0.2421,0.4069,0.4948,158.81
401507189,2023,-5.0,149.0,0.1949,0.3009,80.1,4.052,-3,0,7.37,1.29,162.66,-0.0289,-0.0661,-0.0452,-0.0238,0.0053,2.84,-0.0813,0.4076,0.2158,0.4319,0.749,-0.0621,0.3186,-0.055,0,0.1865,0.4826,0.0726,0.0623,0.638,158.79
401507190,2023,-6.0,212.0,0.1037,0.165,55.0,0.605,1,0,3.06,2.64,165.16,-0.003,0.1307,-0.0136,-0.0082,-0.0292,-2.09,0.2935,-0.1046,0.1286,-0.0245,1.219,0.1655,-1.3675,0.0474,2,-0.2454,-0.2715,0.481,0.3263,0.4985,158.65
401507191,2023,18.0,160.0,0.5193,0.5006,86.0,0.036,3,0,14.5,0.97,163.4,-0.0362,0.0149,-0.0774,0.0362,0.0583,0.31,0.0987,0.4689,0.4463,0.5475,-1.4169,0.0121,-0.0993,0.0532,1,0.3115,0.542,0.1987,0.36,1.2126,159.39
401507192,2023,8.0,146.0,0.0191,0.0326,4.9,1.5,-1,0,6.92,-1.06,161.25,0.0129,-0.0398,0.0785,0.0659,-0.0386,-0.2,-0.1272,0.2319,-0.0829,0.3527,1.2308,0.1074,-1.9032,-0.144,0,-0.036,-0.1008,0.0155,-0.121,-0.2282,159.4
401507193,2023,-6.0,194.0,0.0342,0.0342,17.2,-2.107,0,0,8.82,-6.79,166.32,-0.0398,0.0333,-0.0564,-0.01,-0.0176,-2.54,0.0746,-0.0345,0.2358,0.1534,0.0384,-0.0392,-1.5502,0.0068,2,-0.1129,0.1385,-0.0838,-0.1193,-0.0172,159.22
401507194,2023,-9.0,157.0,-0.1152,-0.1038,-31.6,-0.281,-1,0,-0.98,-2.65,164.11,-0.0095,-0.0973,-0.052,0.0453,-0.003,-0.66,-0.2488,0.1557,0.006,-0.1282,-0.8406,0.0173,-0.2575,-0.0797,0,0.0055,-0.0067,-0.1227,-0.0619,-0.1362,159.68
